mould_position,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,s1,s2,b1,StartPolymerMass_g,EndPolymerMass_pct,DeltaPolymerMass_pct
A1,1.0,0.758152094,0.61906152,0.795261793,0.121171721,0.447844154,3.09,85.50784804,-14.49215196
A2,1.0,0.893715323,0.084553583,0.295261793,0.621171721,0.947844154,3.12,85.57185332,-14.42814668
A3,1.0,0.260737364,1.099893412,0.545261793,0.371171721,0.197844154,3.33,86.62481005,-13.37518995
A4,1.0,0.396300593,0.565385475,0.045261793,0.871171721,0.697844154,3.17,86.7551765,-13.2448235
A5,1.0,0.055025941,1.387184358,0.170261793,0.496171721,0.072844154,3.27,87.03580025,-12.96419975
A6,1.0,0.862355401,0.85267642,0.670261793,0.996171721,0.572844154,3.06,88.50079562,-11.49920438
B1,1.0,0.930137016,0.220766606,0.420261793,0.246171721,0.822844154,3.2,87.7905645,-12.2094355
B2,1.0,0.607073787,1.182430389,0.920261793,0.746171721,0.322844154,3.14,89.29035902,-10.70964098
B3,1.0,1.501027853,0.343587809,0.982761793,0.433671721,0.760344154,2.63,87.69678044,-12.30321956
B4,1.0,0.318698393,1.430251593,0.482761793,0.933671721,0.260344154,3.27,88.52606466,-11.47393534
B5,1.0,0.016541778,1.171427638,0.732761793,0.183671721,0.010344154,3.36,86.82384062,-13.17615938
B6,1.0,0.433355007,0.824419701,0.232761793,0.683671721,0.510344154,3.31,86.05181035,-13.94818965
C1,1.0,0.254960142,0.804382724,0.107761793,0.308671721,0.385344154,3.34,86.03852022,-13.96147978
C2,1.0,1.249789602,0.207374787,0.607761793,0.808671721,0.885344154,2.96,87.39613519,-12.60386481
C3,1.0,0.658624872,0.568378755,0.357761793,0.558671721,0.635344154,2.8,84.62297418,-15.37702582
C4,1.0,0.241811643,0.915386693,0.857761793,0.058671721,0.135344154,3.14,85.31881517,-14.68118483
C5,1.0,0.277999905,1.024153146,0.227694227,0.529376825,0.669653894,3.46,87.88851435,-12.11148565
C6,1.0,1.302924268,0.348537866,1.0,0.0,0.348537866,2.85,89.09464842,-10.90535158
D1,1.0,1.083961318,0.298057393,0.696153795,0.0,0.298057393,3.22,89.14687686,-10.85312314
D2,1.0,0.0,1.573124025,0.0,0.573124025,1.0,3.19,88.82042225,-11.17957775
D3,1.0,0.5,0.0,0.0,0.150359274,0.0,3.23,85.19282264,-14.80717736
D4,1.0,0.0,1.811502171,0.048772188,0.811502171,1.0,3.3,89.85066259,-10.14933741
D5,1.0,0.373606804,0.307544681,0.021018808,0.035126747,0.297108235,3.75,85.41394535,-14.58605465
D6,1.0,0.793558396,0.0,0.195705597,0.14134148,0.0,3.33,84.84232868,-15.15767132
E1,1.0,0.437174479,0.170864907,0.0,0.359836772,0.125651042,3.7,84.26089866,-15.73910134
E2,1.0,0.6395979516177107,0.0,0.0930653010784737,0.0,0.0,3.48,85.58260938299603,-14.417390617003974
E3,1.0,0.3916446748586265,0.2661046764488503,0.0,0.2279261591511899,0.216710650282747,3.75,86.28170515483396,-13.718294845166042
E4,1.0,0.6569592683126887,0.2456328382240433,0.227597259135289,0.1205717160444899,0.2192031395287252,3.3200000000000003,85.6715001069773,-14.328499893022695
