mould_position,datetime,MouldMass_g,MouldPolymerMass_g,PolymerMass_g
C5,2023-04-21 14:32:53,3.21,6.67,3.46
C6,2023-04-21 14:40:38,3.05,5.9,2.8500000000000005
D1,2023-04-21 14:49:59,3.15,6.37,3.22
C5,2023-04-21 16:52:27,3.21,6.63,3.42
C6,2023-04-21 16:52:36,3.05,5.85,2.8
D1,2023-04-21 16:52:45,3.15,6.33,3.18
C5,2023-04-24 09:00:00,3.21,6.26,3.05
C6,2023-04-24 09:00:09,3.05,5.59,2.54
D1,2023-04-24 09:00:20,3.15,6.03,2.88
C5,2023-04-24 15:47:24,3.21,6.25,3.04
C6,2023-04-24 15:47:39,3.05,5.59,2.54
D1,2023-04-24 15:47:48,3.15,6.03,2.88
C5,2023-04-25 09:19:35,3.21,6.25,3.04
C6,2023-04-25 09:19:45,3.05,5.58,2.53
D1,2023-04-25 09:19:56,3.15,6.01,2.86
D2,2023-04-25 15:30:39,3.27,6.46,3.19
D3,2023-04-25 15:35:20,3.18,6.41,3.23
D4,2023-04-25 15:43:47,3.18,6.48,3.3000000000000003
D2,2023-04-26 09:36:08,3.27,6.33,3.06
D3,2023-04-26 09:36:17,3.18,6.13,2.95
D4,2023-04-26 09:36:29,3.18,6.33,3.15
D2,2023-04-27 09:55:00,3.27,6.21,2.94
D3,2023-04-27 09:55:09,3.18,6.04,2.86
D4,2023-04-27 09:55:20,3.18,6.23,3.05
D2,2023-04-28 09:22:16,3.27,6.17,2.9
D3,2023-04-28 09:22:24,3.18,5.99,2.81
D4,2023-04-28 09:22:33,3.18,6.2,3.02
D2,2023-05-02 16:51:42,3.27,6.08,2.81
D3,2023-05-02 16:51:49,3.18,5.9,2.72
D4,2023-05-02 16:51:59,3.18,6.12,2.94
D2,2023-05-03 09:26:14,3.27,6.08,2.81
D3,2023-05-03 09:26:22,3.18,5.91,2.73
D4,2023-05-03 09:26:35,3.18,6.12,2.94
D5,2023-05-03 14:45:29,3.03,6.78,3.75
D6,2023-05-03 14:52:26,3.32,6.65,3.3300000000000005
E1,2023-05-03 14:58:01,3.25,6.95,3.7
D5,2023-05-04 13:25:12,3.03,6.49,3.46
D6,2023-05-04 13:25:20,3.32,6.4,3.08
E1,2023-05-04 13:25:30,3.25,6.62,3.37
D5,2023-05-05 08:27:06,3.03,6.37,3.34
D6,2023-05-05 08:27:15,3.32,6.28,2.96
E1,2023-05-05 08:27:28,3.25,6.51,3.26
D5,2023-05-09 16:50:21,3.03,6.24,3.21
D6,2023-05-09 16:50:31,3.32,6.15,2.83
E1,2023-05-09 16:50:39,3.25,6.37,3.12
D5,2023-05-10 08:41:30,3.03,6.19,3.16
D6,2023-05-10 08:41:43,3.32,6.11,2.79
E1,2023-05-10 08:41:57,3.25,6.33,3.08
E2,2023-05-10 15:52:21,3.14,6.62,3.48
E3,2023-05-10 15:57:28,3.15,6.9,3.75
E4,2023-05-10 16:04:05,3.0,6.32,3.3200000000000003
E2,2023-05-11 11:59:09,3.14,6.3,3.16
E3,2023-05-11 11:59:23,3.15,6.6,3.45
E4,2023-05-11 11:59:36,3.0,6.02,3.02
E2,2023-05-12 09:17:10,3.14,6.23,3.09
E3,2023-05-12 09:17:29,3.15,6.52,3.37
E4,2023-05-12 09:17:47,3.0,5.97,2.97
E2,2023-05-16 16:37:25,3.14,6.1,2.96
E3,2023-05-16 16:37:33,3.15,6.37,3.22
E4,2023-05-16 16:37:45,3.0,5.83,2.83
E2,2023-05-17 09:30:24,3.14,6.1,2.96
E3,2023-05-17 09:30:33,3.15,6.36,3.21
E4,2023-05-17 09:30:46,3.0,5.82,2.82
