mould_position,point,datetime,exp_param_a,exp_param_b,exp_param_c,time_elapsed_hours,lin_param_m,lin_param_c
E2,3,2023-05-12 09:17:10,11.694443636670282,0.0767255534981287,88.30555636332971,41.41,-0.1039,92.8079
E2,4,2023-05-16 16:37:25,14.487740628304122,0.0421119694060029,85.34781809552938,144.75,-0.0023,85.7166
E2,5,2023-05-17 09:30:24,14.635287632214157,0.0410715196738511,85.18839411666018,161.63,-0.0013,85.4198
E3,3,2023-05-12 09:17:29,10.799527705006522,0.0673949391048858,89.20047229499349,41.33,-0.109,94.1
E3,4,2023-05-16 16:37:33,13.808674440407191,0.0362099827060609,86.01862689627184,144.67,-0.0042,86.6925
E3,5,2023-05-17 09:30:33,14.038480383587055,0.0348955656163846,85.77167048504907,161.55,-0.0027,86.2556
E4,3,2023-05-12 09:17:47,10.794935406926111,0.0910627473721853,89.20506459307389,41.23,-0.079,92.4664
E4,4,2023-05-16 16:37:45,14.18559861597239,0.0401039979235809,85.58477773450815,144.56,-0.0029,86.0386
E4,5,2023-05-17 09:30:46,14.511948110713403,0.03790925769519015,85.2278323936768,161.44,-0.002,85.5722
