mould_position,datetime,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,s1,s2,b1,MouldMass_g,MouldPolymerMass_g,PolymerMass_g
A1,2023-03-15 14:10:42,1.0,0.9893535720905235,0.50236769709119,0.5742728539233592,0.8382409651843838,0.7267128158898362,3.21,6.13,2.92
A2,2023-03-15 14:17:11,1.0,0.1386143197306269,1.0348445876283,0.0742728539233592,0.3382409651843838,0.2267128158898361,3.34,6.72,3.38
A3,2023-03-15 14:24:23,1.0,0.4702339459105752,0.5694625503046631,0.3242728539233592,0.0882409651843838,0.4767128158898361,3.21,6.61,3.4000000000000004
A4,2023-03-15 14:31:31,1.0,1.6959731982704718,0.036985659767553,0.8242728539233592,0.5882409651843838,0.9767128158898362,3.24,6.1,2.8599999999999994
A5,2023-03-15 14:40:45,1.0,0.6766635506966667,0.7865285689664815,0.9492728539233592,0.2132409651843838,0.3517128158898361,3.26,6.65,3.390000000000001
A6,2023-03-15 14:48:12,1.0,0.999833579221809,0.2540516784293715,0.4492728539233592,0.7132409651843838,0.8517128158898362,3.17,6.36,3.1900000000000004
B1,2023-03-15 14:55:09,1.0,0.0812593125993413,1.7635541983452003,0.1992728539233592,0.9632409651843838,0.1017128158898361,3.21,6.4,3.1900000000000004
B2,2023-03-15 15:03:39,1.0,0.931998564959238,0.5827901236979265,0.6992728539233592,0.4632409651843838,0.6017128158898362,3.36,6.46,3.1
B3,2023-04-21 12:58:09,0.4933223634423558,0.3667950101884835,0.4877359838003733,1.0,0.6351989508669228,0.6666351089477214,3.1,6.43,3.33
B4,2023-04-25 14:27:58,0.225994076578841,0.0,0.1233244339344611,1.0,0.7355230105510907,0.1233244339344611,3.09,5.76,2.67
B5,2023-05-03 13:45:56,0.1291018727124671,0.0,0.0,1.0,0.6936528090687007,0.0,3.07,6.25,3.18
B6,2023-05-10 14:52:52,0.3117368402597795,0.0,0.1343922858014972,1.0,0.8375665776923488,0.1343922858014972,3.3,7.13,3.83
C1,2023-05-17 13:39:02,0.1256511641910246,0.2493394231386097,0.1671720685442983,1.0,0.5733826644651685,0.2088546556800218,3.21,6.81,3.6
C2,2023-05-25 11:14:30,0.0494397398032277,0.0578160456833095,0.2429176764017664,1.0,0.4346860914315963,0.2569622158778943,3.3,6.72,3.42
C3,2023-06-01 10:09:46,0.0,0.398963611121917,0.2109747630197549,1.0,0.39451261849012254,0.295146016329707,3.26,6.6,3.34
