mould_position,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,s1,s2,b1,StartPolymerMass_g,EndPolymerMass_pct,DeltaPolymerMass_pct
A1,1.0,0.9893535720905235,0.50236769709119,0.5742728539233592,0.8382409651843838,0.7267128158898362,2.92,86.55812619807782,-13.441873801922185
A2,1.0,0.1386143197306269,1.0348445876283,0.0742728539233592,0.3382409651843838,0.2267128158898361,3.38,85.98709109297509,-14.012908907024908
A3,1.0,0.4702339459105752,0.5694625503046631,0.3242728539233592,0.0882409651843838,0.4767128158898361,3.4000000000000004,86.85736173285594,-13.142638267144063
A4,1.0,1.6959731982704718,0.036985659767553,0.8242728539233592,0.5882409651843838,0.9767128158898362,2.8599999999999994,88.63235700646327,-11.367642993536734
A5,1.0,0.6766635506966667,0.7865285689664815,0.9492728539233592,0.2132409651843838,0.3517128158898361,3.390000000000001,87.15968711293262,-12.840312887067384
A6,1.0,0.999833579221809,0.2540516784293715,0.4492728539233592,0.7132409651843838,0.8517128158898362,3.1900000000000004,86.9233551522451,-13.076644847754906
B1,1.0,0.0812593125993413,1.7635541983452003,0.1992728539233592,0.9632409651843838,0.1017128158898361,3.1900000000000004,89.09176503080567,-10.908234969194323
B2,1.0,0.931998564959238,0.5827901236979265,0.6992728539233592,0.4632409651843838,0.6017128158898362,3.1,86.23431222073656,-13.765687779263445
B3,1.0,0.6351989508669228,0.6666351089477214,0.4933223634423558,0.3667950101884835,0.4877359838003733,3.33,87.05548053132881,-12.944519468671189
B4,1.0,0.7355230105510907,0.1233244339344611,0.225994076578841,0.0,0.1233244339344611,2.67,85.0632486646067,-14.936751335393296
B5,1.0,0.6936528090687007,0.0,0.1291018727124671,0.0,0.0,3.18,86.57843065896537,-13.421569341034626
B6,1.0,0.8375665776923488,0.1343922858014972,0.3117368402597795,0.0,0.1343922858014972,3.83,87.23329438918883,-12.766705610811172
C1,1.0,0.5733826644651685,0.2088546556800218,0.1256511641910246,0.2493394231386097,0.1671720685442983,3.6,85.12712971406347,-14.872870285936528
C2,1.0,0.4346860914315963,0.2569622158778943,0.0494397398032277,0.0578160456833095,0.2429176764017664,3.42,85.51346789664511,-14.48653210335489
C3,1.0,0.3945126184901225,0.295146016329707,0.0,0.398963611121917,0.2109747630197549,3.34,85.27203291710006,-14.727967082899937
