mould_position,datetime,MouldMass_g,MouldPolymerMass_g,PolymerMass_g
B3,2023-04-21 12:58:09,3.1,6.43,3.33
B3,2023-04-21 16:50:08,3.1,6.3,3.2
B3,2023-04-24 08:57:11,3.1,6.0,2.9
B3,2023-04-24 15:14:14,3.1,6.0,2.9
B3,2023-04-25 09:17:09,3.1,5.99,2.89
B4,2023-04-25 14:27:58,3.09,5.76,2.67
B4,2023-04-26 09:33:24,3.09,5.51,2.42
B4,2023-04-27 09:52:26,3.09,5.43,2.34
B4,2023-04-28 09:20:02,3.09,5.42,2.33
B4,2023-05-02 16:49:39,3.09,5.34,2.25
B4,2023-05-03 09:24:02,3.09,5.33,2.24
B5,2023-05-03 13:45:56,3.07,6.25,3.18
B5,2023-05-04 12:52:24,3.07,6.01,2.94
B5,2023-05-05 08:24:54,3.07,5.96,2.89
B5,2023-05-09 16:48:00,3.07,5.82,2.75
B5,2023-05-10 08:38:52,3.07,5.79,2.72
B6,2023-05-10 14:52:52,3.3,7.13,3.83
B6,2023-05-11 11:56:23,3.3,6.83,3.53
B6,2023-05-12 09:13:07,3.3,6.76,3.46
B6,2023-05-16 16:34:14,3.3,6.62,3.32
B6,2023-05-17 09:27:38,3.3,6.62,3.32
C1,2023-05-17 13:39:02,3.21,6.81,3.6
C1,2023-05-18 09:35:28,3.21,6.51,3.3
C1,2023-05-19 09:36:45,3.21,6.39,3.18
C1,2023-05-24 08:58:21,3.21,6.26,3.05
C1,2023-05-24 13:35:29,3.21,6.25,3.04
C2,2023-05-25 11:14:30,3.3,6.72,3.42
C2,2023-05-26 08:54:48,3.3,6.4,3.1
C2,2023-05-30 09:24:13,3.3,6.22,2.92
C2,2023-05-31 09:26:59,3.3,6.21,2.91
C3,2023-06-01 10:09:46,3.26,6.6,3.34
C3,2023-06-02 10:43:29,3.26,6.26,3.0
C3,2023-06-05 09:33:52,3.26,6.11,2.85
C3,2023-06-06 09:33:20,3.26,6.1,2.84
C3,2023-06-07 09:56:17,3.26,6.09,2.83
