mould_position,datetime,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,s1,s2,b1,MouldMass_g,MouldPolymerMass_g,PolymerMass_g
A1,2023-03-15 14:10:42,1.0,0.9893535720905235,0.50236769709119,0.5742728539233592,0.8382409651843838,0.7267128158898362,3.21,6.13,2.92
A2,2023-03-15 14:17:11,1.0,0.1386143197306269,1.0348445876283,0.0742728539233592,0.3382409651843838,0.2267128158898361,3.34,6.72,3.38
A3,2023-03-15 14:24:23,1.0,0.4702339459105752,0.5694625503046631,0.3242728539233592,0.0882409651843838,0.4767128158898361,3.21,6.61,3.4000000000000004
A4,2023-03-15 14:31:31,1.0,1.6959731982704718,0.036985659767553,0.8242728539233592,0.5882409651843838,0.9767128158898362,3.24,6.1,2.8599999999999994
A5,2023-03-15 14:40:45,1.0,0.6766635506966667,0.7865285689664815,0.9492728539233592,0.2132409651843838,0.3517128158898361,3.26,6.65,3.390000000000001
A6,2023-03-15 14:48:12,1.0,0.999833579221809,0.2540516784293715,0.4492728539233592,0.7132409651843838,0.8517128158898362,3.17,6.36,3.1900000000000004
B1,2023-03-15 14:55:09,1.0,0.0812593125993413,1.7635541983452003,0.1992728539233592,0.9632409651843838,0.1017128158898361,3.21,6.4,3.1900000000000004
B2,2023-03-15 15:03:39,1.0,0.931998564959238,0.5827901236979265,0.6992728539233592,0.4632409651843838,0.6017128158898362,3.36,6.46,3.1
B3,2023-04-21 13:09:47,0.3687401691995934,0.4894938493738067,0.4922956085644682,1.0,0.5346687005197377,0.7332712810305106,3.26,6.59,3.33
B4,2023-04-21 13:16:01,0.0,0.1275114976176829,0.1710360494301135,1.0,0.4144819752849432,0.1928451122395594,3.12,6.13,3.01
B5,2023-04-25 14:33:56,0.0,0.0,0.0940151503917514,1.0,0.4529924248041242,0.0940151503917514,3.2,6.64,3.4399999999999995
B6,2023-04-25 14:41:01,0.0,0.0044778403463683,0.2450432453377145,1.0,0.3774783773311427,0.2461405098682927,3.02,6.28,3.26
C1,2023-05-03 13:52:02,0.0,0.1427677695180375,0.0631717559965782,1.0,0.4684141220017108,0.0721906466967474,3.41,6.89,3.4799999999999995
C2,2023-05-03 13:58:48,0.146334533790895,0.0902387946562156,0.1111805673143919,1.0,0.6395071823023084,0.1212133676980369,3.16,6.61,3.45
C3,2023-05-10 14:58:33,0.0,0.0,0.0,1.0,0.5,0.0,3.06,6.93,3.87
C4,2023-05-10 15:09:02,0.991575832841649,1.0,0.3463135703856797,1.0,1.2991127136003155,0.6926271407713595,3.11,6.31,3.2
C5,2023-05-17 13:46:49,0.0,0.1852382210021599,0.7075978947407299,1.0,0.146201052629635,0.8386720699473763,3.29,6.93,3.64
C6,2023-05-17 13:52:22,0.0,0.0951553079719016,0.1276833387773585,1.0,0.4361583306113207,0.1398330862015986,3.14,6.78,3.64
D1,2023-05-25 11:19:22,0.0,0.2064900807135701,0.0,1.0,0.5,0.0,3.2,7.01,3.81
D2,2023-05-25 11:24:59,0.1080399017954239,0.0,0.0,1.0,0.6620598526931359,0.0,3.2,6.38,3.18
D3,2023-06-01 10:16:27,0.5936116754581667,0.0,0.0,1.0,1.39041751318725,0.0,3.14,6.06,2.9199999999999995
D4,2023-06-01 10:21:48,0.0,0.13636160304163653,0.24927516548359732,1.0,0.37536241725820135,0.28326672664740987,3.14,6.72,3.5799999999999996
