mould_position,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,s1,s2,b1,StartPolymerMass_g,EndPolymerMass_pct,DeltaPolymerMass_pct
A1,1.0,0.989353572,0.502367697,0.574272854,0.838240965,0.726712816,2.92,86.5581262,-13.4418738
A2,1.0,0.13861432,1.034844588,0.074272854,0.338240965,0.226712816,3.38,85.98709109,-14.01290891
A3,1.0,0.470233946,0.56946255,0.324272854,0.088240965,0.476712816,3.4,86.85736173,-13.14263827
A4,1.0,1.695973198,0.03698566,0.824272854,0.588240965,0.976712816,2.86,88.63235701,-11.36764299
A5,1.0,0.676663551,0.786528569,0.949272854,0.213240965,0.351712816,3.39,87.15968711,-12.84031289
A6,1.0,0.999833579,0.254051678,0.449272854,0.713240965,0.851712816,3.19,86.92335515,-13.07664485
B1,1.0,0.081259313,1.763554198,0.199272854,0.963240965,0.101712816,3.19,89.09176503,-10.90823497
B2,1.0,0.931998565,0.582790124,0.699272854,0.463240965,0.601712816,3.1,86.23431222,-13.76568778
B3,1.0,0.534668701,0.733271281,0.368740169,0.489493849,0.492295609,3.33,86.96996806,-13.03003194
B4,1.0,0.414481975,0.192845112,0.0,0.127511498,0.171036049,3.01,84.1184574,-15.8815426
B5,1.0,0.452992425,0.09401515,0.0,0.0,0.09401515,3.44,84.5817549,-15.4182451
B6,1.0,0.377478377,0.24614051,0.0,0.00447784,0.245043245,3.26,85.07325078,-14.92674922
C1,1.0,0.468414122,0.072190647,0.0,0.14276777,0.063171756,3.48,84.59858145,-15.40141855
C2,1.0,0.639507182,0.121213368,0.146334534,0.090238795,0.111180567,3.45,85.4717561,-14.5282439
C3,1.0,0.5,0.0,0.0,0.0,0.0,3.87,84.88954075903666,-15.110459240963335
C4,1.0,1.2991127136003155,0.6926271407713595,0.991575832841649,1.0,0.3463135703856797,3.2,88.58973866614024,-11.410261333859763
C5,1.0,0.146201052629635,0.8386720699473763,0.0,0.1852382210021599,0.7075978947407299,3.64,86.87662079563427,-13.123379204365731
C6,1.0,0.4361583306113207,0.1398330862015986,0.0,0.0951553079719016,0.1276833387773585,3.64,85.32113499913284,-14.678865000867162
D1,1.0,0.5,0.0,0.0,0.2064900807135701,0.0,3.81,85.21559732251968,-14.784402677480315
D2,1.0,0.6620598526931359,0.0,0.1080399017954239,0.0,0.0,3.18,85.35715717008448,-14.642842829915525
D3,1.0,1.39041751318725,0.0,0.5936116754581667,0.0,0.0,2.9199999999999995,88.971646737188,-11.028353262812004
D4,1.0,0.3753624172582013,0.2832667266474098,0.0,0.1363616030416365,0.2492751654835973,3.58,86.18586694513223,-13.814133054867767
