mould_position,datetime,MouldMass_g,MouldPolymerMass_g,PolymerMass_g
B3,2023-04-21 13:09:47,3.26,6.59,3.33
B4,2023-04-21 13:16:01,3.12,6.13,3.01
B3,2023-04-21 16:50:28,3.26,6.48,3.22
B4,2023-04-21 16:50:39,3.12,6.02,2.9
B3,2023-04-24 08:57:34,3.26,6.16,2.9
B4,2023-04-24 08:57:43,3.12,5.66,2.54
B3,2023-04-24 15:14:50,3.26,6.16,2.9
B4,2023-04-24 15:14:58,3.12,5.65,2.53
B3,2023-04-25 09:17:30,3.26,6.14,2.88
B4,2023-04-25 09:17:38,3.12,5.64,2.52
B5,2023-04-25 14:33:56,3.2,6.64,3.4399999999999995
B6,2023-04-25 14:41:01,3.02,6.28,3.26
B5,2023-04-26 09:33:56,3.2,6.31,3.11
B6,2023-04-26 09:34:06,3.02,5.98,2.96
B5,2023-04-27 09:52:46,3.2,6.21,3.01
B6,2023-04-27 09:52:56,3.02,5.9,2.88
B5,2023-04-28 09:20:24,3.2,6.17,2.97
B6,2023-04-28 09:20:33,3.02,5.85,2.83
B5,2023-05-02 16:49:58,3.2,6.08,2.88
B6,2023-05-02 16:50:08,3.02,5.77,2.75
B5,2023-05-03 09:24:18,3.2,6.08,2.88
B6,2023-05-03 09:24:27,3.02,5.76,2.74
C1,2023-05-03 13:52:02,3.41,6.89,3.4799999999999995
C2,2023-05-03 13:58:48,3.16,6.61,3.45
C1,2023-05-04 12:52:48,3.41,6.57,3.16
C2,2023-05-04 12:52:56,3.16,6.32,3.16
C1,2023-05-05 08:25:11,3.41,6.5,3.09
C2,2023-05-05 08:25:18,3.16,6.25,3.09
C1,2023-05-09 16:48:15,3.41,6.35,2.94
C2,2023-05-09 16:48:25,3.16,6.11,2.95
C1,2023-05-10 08:39:11,3.41,6.32,2.91
C2,2023-05-10 08:39:25,3.16,6.07,2.91
C3,2023-05-10 14:58:33,3.06,6.93,3.87
C4,2023-05-10 15:09:02,3.11,6.31,3.2
C3,2023-05-11 11:57:07,3.06,6.55,3.49
C4,2023-05-11 11:57:16,3.11,6.09,2.98
C3,2023-05-12 09:14:11,3.06,6.47,3.41
C4,2023-05-12 09:14:32,3.11,6.06,2.95
C3,2023-05-16 16:34:32,3.06,6.33,3.27
C4,2023-05-16 16:34:42,3.11,5.93,2.82
C3,2023-05-17 09:28:04,3.06,6.32,3.26
C4,2023-05-17 09:28:14,3.11,5.92,2.81
C5,2023-05-17 13:46:49,3.29,6.93,3.64
C6,2023-05-17 13:52:22,3.14,6.78,3.64
C5,2023-05-18 09:35:47,3.29,6.73,3.44
C6,2023-05-18 09:35:58,3.14,6.48,3.34
C5,2023-05-19 09:37:01,3.29,6.6,3.31
C6,2023-05-19 09:37:11,3.14,6.37,3.23
C5,2023-05-24 08:58:51,3.29,6.43,3.14
C6,2023-05-24 08:59:05,3.14,6.23,3.09
C5,2023-05-24 13:35:45,3.29,6.43,3.14
C6,2023-05-24 13:35:57,3.14,6.22,3.08
D1,2023-05-25 11:19:22,3.2,7.01,3.81
D2,2023-05-25 11:24:59,3.2,6.38,3.18
D1,2023-05-26 08:55:14,3.2,6.66,3.46
D2,2023-05-26 08:55:28,3.2,6.09,2.89
D1,2023-05-30 09:24:33,3.2,6.44,3.24
D2,2023-05-30 09:24:45,3.2,5.91,2.71
D1,2023-05-31 09:27:18,3.2,6.43,3.23
D2,2023-05-31 09:27:28,3.2,5.9,2.7
D3,2023-06-01 10:16:27,3.14,6.06,2.9199999999999995
D4,2023-06-01 10:21:48,3.14,6.72,3.58
D3,2023-06-02 10:43:46,3.14,5.85,2.71
D4,2023-06-02 10:43:56,3.14,6.38,3.24
D3,2023-06-05 09:34:10,3.14,5.74,2.6
D4,2023-06-05 09:34:23,3.14,6.23,3.09
D3,2023-06-06 09:33:39,3.14,5.73,2.59
D4,2023-06-06 09:33:48,3.14,6.21,3.07
D3,2023-06-07 09:56:36,3.14,5.72,2.58
D4,2023-06-07 09:56:46,3.14,6.21,3.07
