mould_position,point,datetime,exp_param_a,exp_param_b,exp_param_c,time_elapsed_hours,lin_param_m,lin_param_c
A1,3,2023-04-11 10:34:26,12.65860194759741,0.0399664395095985,87.3413980524026,140.56,-0.0031,87.8116
A2,3,2023-04-11 10:34:36,11.38121355687272,0.0395560112907006,88.61878644312728,140.44,-0.0029,89.0621
A3,3,2023-04-11 10:34:44,13.695570436379157,0.0290051199212326,86.30442956362084,140.3,-0.0098,87.8957
A4,3,2023-04-11 10:34:53,11.600186430261065,0.0373609038770553,88.39981356973894,140.15,-0.0037,88.9745
A5,3,2023-04-11 10:35:02,11.652196022033907,0.0378688726005487,88.3478039779661,140.03,-0.0035,88.8971
A6,3,2023-04-11 10:35:12,13.31697055307363,0.0312974535112027,86.68302944692637,139.89,-0.0077,87.9239
B1,3,2023-04-11 10:35:22,15.107287191116068,0.0253532546398685,84.89271280888393,139.78,-0.0152,87.4348
B2,3,2023-04-11 10:35:31,12.63029846673076,0.0327490693610111,87.36970153326924,139.67,-0.0064,88.391
B3,3,2023-04-11 10:35:41,15.363109018447794,0.0251087944054195,84.63689098155221,139.52,-0.0159,87.2969
B4,3,2023-04-11 10:35:51,10.324642536740448,0.0467018406892484,89.67535746325956,139.4,-0.0013,89.8703
B5,3,2023-04-11 10:35:59,12.247946395139722,0.0348746222478396,87.75205360486028,139.28,-0.0052,88.5575
B6,3,2023-04-11 10:36:08,12.461968517570478,0.0338218352311569,87.53803148242952,139.17,-0.0058,88.4537
C1,3,2023-04-11 10:36:19,15.23664240595308,0.0252180363568445,84.76335759404692,139.08,-0.0158,87.3962
C2,3,2023-04-11 10:36:29,9.892093960914089,0.0509060851795363,90.10790603908592,138.97,-0.0008,90.2288
C3,3,2023-04-11 10:36:38,11.395790308434892,0.0399485020385171,88.6042096915651,138.85,-0.0029,89.0533
C4,3,2023-04-11 10:36:48,13.49475650449077,0.0302281706123264,86.50524349550923,138.74,-0.009,87.9449
C5,3,2023-04-11 10:36:57,11.357935254627042,0.040236135950238,88.64206474537296,138.62,-0.0029,89.0797
C6,3,2023-04-11 10:37:06,15.276350715272006,0.0250765221296595,84.723649284728,138.51,-0.0162,87.4284
D1,3,2023-04-11 10:37:14,13.125110438165798,0.0312665599543217,86.8748895618342,138.4,-0.008,88.1481
D2,3,2023-04-11 10:37:23,13.71526171178198,0.0302166860780665,86.28473828821802,138.24,-0.0093,87.7673
D3,3,2023-04-11 10:37:34,15.220918429508387,0.0253014115651278,84.7790815704916,138.14,-0.016,87.4359
D4,3,2023-04-11 10:37:42,14.234314099866014,0.0290318633929922,85.76568590013397,137.99,-0.0108,87.5047
D5,3,2023-04-11 10:37:53,11.62180862266973,0.0371703771423861,88.37819137733027,137.74,-0.0041,89.0106
D6,3,2023-04-11 10:38:04,12.154030095558538,0.0356169525869311,87.84596990444146,137.56,-0.0051,88.6246
E1,3,2023-04-11 10:38:13,11.3254599681168,0.040223256815256,88.67454003188321,137.45,-0.003,89.1291
E2,3,2023-04-11 10:38:22,15.188405583901138,0.0261354872896347,84.81159441609887,137.36,-0.0152,87.2984
E3,3,2023-04-11 10:38:31,12.681945293712806,0.032701790019640825,87.3180547062872,137.2,-0.007,88.4177
