mould_position,datetime,mould_mass_g,mould_polymer_mass_g,polymer_mass_g
E2,2023-04-27 09:51:26,3.13,5.99,2.86
D6,2023-04-28 09:19:25,3.16,6.04,2.88
E1,2023-04-28 09:19:32,3.08,5.98,2.9
E2,2023-04-28 09:19:41,3.13,5.95,2.82
D6,2023-05-02 16:48:51,3.16,5.97,2.81
E1,2023-05-02 16:48:59,3.08,5.9,2.82
E2,2023-05-02 16:49:08,3.13,5.88,2.75
D6,2023-05-03 09:23:07,3.16,5.96,2.8
E1,2023-05-03 09:23:16,3.08,5.89,2.81
E2,2023-05-03 09:23:25,3.13,5.86,2.73
E3,2023-05-04 13:07:50,3.29,6.09,2.8
E4,2023-05-04 13:14:41,3.19,6.44,3.2500000000000004
E5,2023-05-04 13:21:39,3.24,6.72,3.4799999999999995
E3,2023-05-04 13:07:50,3.29,6.09,2.8
E4,2023-05-04 13:14:41,3.19,6.44,3.2500000000000004
E5,2023-05-04 13:21:39,3.24,6.72,3.4799999999999995
E3,2023-05-05 08:24:14,3.29,5.82,2.53
E4,2023-05-05 08:24:22,3.19,6.09,2.9
E5,2023-05-05 08:24:31,3.24,6.22,2.98
E3,2023-05-09 16:47:22,3.29,5.63,2.34
E4,2023-05-09 16:47:30,3.19,5.88,2.69
E5,2023-05-09 16:47:39,3.24,6.0,2.76
E3,2023-05-10 08:37:43,3.29,5.6,2.31
E4,2023-05-10 08:37:57,3.19,5.86,2.67
E5,2023-05-10 08:38:08,3.24,5.98,2.74
