mould_position,datetime,mould_mass_g,mould_polymer_mass_g,polymer_mass_g
A5,2023-03-17 16:30:19,3.23,5.34,2.11
A6,2023-03-17 16:30:28,3.29,6.1,2.81
B1,2023-03-17 16:30:37,3.34,5.83,2.49
B2,2023-03-17 16:30:46,3.16,5.93,2.77
B3,2023-03-17 16:30:55,3.27,5.92,2.65
B4,2023-03-17 16:31:05,3.3,6.0,2.7
B5,2023-03-17 16:31:14,3.28,5.84,2.56
B6,2023-03-17 16:31:23,3.31,6.12,2.81
C1,2023-03-17 16:31:33,3.48,6.19,2.71
C2,2023-03-17 16:31:43,3.33,5.99,2.66
C3,2023-03-17 16:31:54,3.15,6.02,2.87
C4,2023-03-17 16:32:05,3.19,5.7,2.51
C5,2023-03-17 16:32:19,3.27,5.99,2.72
C6,2023-03-17 16:32:29,3.01,5.66,2.65
D1,2023-03-17 16:32:42,3.11,5.87,2.76
D2,2023-03-17 16:32:52,3.23,6.07,2.84
D3,2023-03-17 16:33:00,3.23,5.84,2.61
D4,2023-03-17 16:33:13,3.22,6.11,2.89
D5,2023-03-17 16:33:23,3.14,6.05,2.91
D6,2023-03-17 16:33:32,3.19,6.14,2.95
E1,2023-03-17 16:33:43,3.29,6.15,2.86
E2,2023-03-17 16:33:52,3.34,6.24,2.9
E3,2023-03-17 16:34:01,3.31,5.89,2.58
A1,2023-03-20 11:08:44,3.22,5.49,2.27
A2,2023-03-20 11:09:00,3.11,5.64,2.53
A3,2023-03-20 11:09:11,3.27,5.87,2.6
A4,2023-03-20 11:09:22,3.25,5.96,2.71
A5,2023-03-20 11:09:32,3.23,5.29,2.06
A6,2023-03-20 11:09:45,3.29,6.04,2.75
B1,2023-03-20 11:09:56,3.34,5.77,2.43
B2,2023-03-20 11:10:09,3.16,5.86,2.7
B3,2023-03-20 11:10:19,3.27,5.86,2.59
B4,2023-03-20 11:10:30,3.3,5.96,2.66
B5,2023-03-20 11:10:45,3.28,5.78,2.5
B6,2023-03-20 11:10:56,3.31,6.06,2.75
C1,2023-03-20 11:11:05,3.48,6.14,2.66
C2,2023-03-20 11:11:14,3.33,5.94,2.61
C3,2023-03-20 11:11:22,3.15,5.96,2.81
C4,2023-03-20 11:11:32,3.19,5.65,2.46
C5,2023-03-20 11:11:39,3.27,5.9,2.63
C6,2023-03-20 11:11:49,3.01,5.59,2.58
D1,2023-03-20 11:11:58,3.11,5.79,2.68
D2,2023-03-20 11:12:08,3.23,6.0,2.77
D3,2023-03-20 11:12:17,3.23,5.78,2.55
D4,2023-03-20 11:12:27,3.22,6.03,2.81
D5,2023-03-20 11:12:36,3.14,5.99,2.85
D6,2023-03-20 11:12:44,3.19,6.07,2.88
E1,2023-03-20 11:12:52,3.29,6.09,2.8
E2,2023-03-20 11:13:01,3.34,6.17,2.83
E3,2023-03-20 11:13:10,3.31,5.84,2.53

