mould_position,point,datetime,exp_param_a,exp_param_b,exp_param_c,time_elapsed_hours,estimated_halflife_hours,time_elapsed_halflives,lin_param_m,lin_param_c
E1,5,2023-03-17 16:33:43,12.256378708965933,0.0342192532274604,87.76850916449862,72.32,20.26,3.57,-0.0541,92.6354
E1,6,2023-03-20 11:12:52,12.727310572619611,0.0306255367355891,87.22581289931908,138.98,22.63,6.14,-0.0081,88.5196
E2,3,2023-03-16 13:19:39,12.08377391677363,0.057612065392097,87.91622608322638,44.98,12.03,3.74,-0.1093,93.4793
E2,4,2023-03-17 09:18:41,12.930734341327575,0.0492655441052072,87.03530013849235,64.96,14.07,4.62,-0.0486,90.6175
E2,5,2023-03-17 16:33:52,12.803768448673509,0.0505130531459197,87.17054607590255,72.21,13.72,5.26,-0.0321,89.7517
E2,6,2023-03-20 11:13:01,13.637980728385326,0.0395408474697237,86.15458770581311,138.86,17.53,7.92,-0.0037,86.7125
E3,3,2023-03-16 13:19:50,12.178941193633236,0.0567507400329255,87.82105880636676,44.87,12.21,3.67,-0.1122,93.5462
E3,4,2023-03-17 09:18:51,12.854232195114228,0.0501318050640578,87.11912544578317,64.85,13.83,4.69,-0.0473,90.5819
E3,5,2023-03-17 16:34:01,12.683115686877418,0.0518622386905215,87.30097885682406,72.1,13.37,5.39,-0.0303,89.7212
E3,6,2023-03-20 11:13:10,13.252137768512013,0.0438137836350975,86.61853823685287,138.76,15.82,8.77,-0.0023,86.9655
