mould_position,point,datetime,exp_param_a,exp_param_b,exp_param_c,time_elapsed_hours,estimated_halflife_hours,time_elapsed_halflives,lin_param_m,lin_param_c
E3,3,2023-05-30 09:23:37,14.006059541947522,0.046140707610595,85.99394045805248,118.37,15.02,7.88,-0.005,86.6308
E3,4,2023-05-31 09:26:21,14.139386024862208,0.0453351266343627,85.85904821150277,142.42,15.29,9.31,-0.0018,86.134
E4,3,2023-05-30 09:23:47,14.031184657177056,0.0502048457566115,85.96881534282294,118.27,13.81,8.57,-0.0035,86.4183
E4,4,2023-05-31 09:26:34,14.317473875000335,0.04831189778176058,85.68000797170616,142.32,14.35,9.92,-0.0013,85.8813
