mould_position,datetime,mould_mass_g,mould_polymer_mass_g,polymer_mass_g
D6,2023-05-16 16:33:28,3.12,6.39,3.27
D5,2023-05-17 09:26:57,3.2,6.42,3.22
D6,2023-05-17 09:27:06,3.12,6.37,3.25
E1,2023-05-17 13:26:52,3.21,6.99,3.78
E2,2023-05-17 13:32:41,3.24,6.68,3.4399999999999995
E1,2023-05-18 09:34:55,3.21,6.66,3.45
E2,2023-05-18 09:35:04,3.24,6.37,3.13
E1,2023-05-19 09:36:04,3.21,6.54,3.33
E2,2023-05-19 09:36:16,3.24,6.26,3.02
E2,2023-05-24 08:57:55,3.24,6.13,2.89
E1,2023-05-24 13:35:00,3.21,6.4,3.19
E2,2023-05-24 13:35:11,3.24,6.14,2.9
E1,2023-05-24 13:42:09,3.21,6.42,3.21
E3,2023-05-25 11:01:20,3.11,6.48,3.370000000000001
E4,2023-05-25 11:07:37,3.18,6.61,3.43
E3,2023-05-26 08:54:01,3.11,6.18,3.07
E4,2023-05-26 08:54:17,3.18,6.29,3.11
E3,2023-05-30 09:23:37,3.11,6.01,2.9
E4,2023-05-30 09:23:47,3.18,6.13,2.95
E3,2023-05-31 09:26:21,3.11,6.0,2.89
E4,2023-05-31 09:26:34,3.18,6.11,2.93
