mould_position,datetime,MouldMass_g,MouldPolymerMass_g,PolymerMass_g
C5,2023-04-21 14:06:19,3.33,6.61,3.28
C5,2023-04-21 16:51:40,3.33,6.49,3.16
C5,2023-04-24 08:58:55,3.33,6.14,2.81
C5,2023-04-24 15:16:02,3.33,6.14,2.81
C5,2023-04-25 09:18:37,3.33,6.12,2.79
C6,2023-04-25 15:09:00,3.29,6.28,2.99
C6,2023-04-26 09:35:10,3.29,6.08,2.79
C6,2023-04-27 09:54:08,3.29,6.01,2.72
C6,2023-04-28 09:21:31,3.29,5.98,2.69
C6,2023-05-02 16:50:57,3.29,5.87,2.58
C6,2023-05-03 09:25:20,3.29,5.87,2.58
D1,2023-05-03 14:26:05,3.13,6.38,3.25
D1,2023-05-04 13:24:27,3.13,6.19,3.06
D1,2023-05-05 08:26:16,3.13,6.09,2.96
D1,2023-05-09 16:49:11,3.13,5.96,2.83
D1,2023-05-10 08:40:34,3.13,5.92,2.79
D2,2023-05-10 15:33:17,3.26,6.72,3.46
D2,2023-05-11 11:58:13,3.26,6.45,3.19
D2,2023-05-12 09:13:44,3.26,6.39,3.13
D2,2023-05-16 16:36:42,3.26,6.28,3.02
D2,2023-05-17 09:29:36,3.26,6.27,3.01
D3,2023-05-17 14:17:14,3.07,6.36,3.2900000000000005
D3,2023-05-18 09:36:54,3.07,6.13,3.06
D3,2023-05-19 09:38:06,3.07,6.04,2.97
D3,2023-05-24 09:00:22,3.07,5.91,2.84
D3,2023-05-24 13:36:58,3.07,5.91,2.84
D4,2023-05-25 11:52:24,3.27,6.21,2.94
D4,2023-05-26 08:56:43,3.27,5.93,2.66
D4,2023-05-30 09:25:43,3.27,5.77,2.5
D4,2023-05-31 09:28:23,3.27,5.76,2.49
D5,2023-06-01 10:49:12,3.19,6.25,3.06
D5,2023-06-02 10:45:04,3.19,6.01,2.82
D5,2023-06-05 09:35:26,3.19,5.9,2.71
D5,2023-06-06 09:34:46,3.19,5.86,2.67
D5,2023-06-07 09:57:48,3.19,5.87,2.68
