mould_position,datetime,MouldMass_g,MouldPolymerMass_g,PolymerMass_g
B3,2023-04-21 13:23:07,3.19,6.48,3.2900000000000005
B4,2023-04-21 13:29:46,3.22,6.34,3.12
B5,2023-04-21 13:35:20,3.13,6.61,3.4800000000000004
B3,2023-04-21 16:51:00,3.19,6.36,3.17
B4,2023-04-21 16:51:07,3.22,6.26,3.04
B5,2023-04-21 16:51:18,3.13,6.53,3.4
B3,2023-04-24 08:58:16,3.19,6.05,2.86
B4,2023-04-24 08:58:24,3.22,5.89,2.67
B5,2023-04-24 08:58:33,3.13,6.2,3.07
B3,2023-04-24 15:15:22,3.19,6.05,2.86
B4,2023-04-24 15:15:33,3.22,5.89,2.67
B5,2023-04-24 15:15:42,3.13,6.2,3.07
B3,2023-04-25 09:17:59,3.19,6.04,2.85
B4,2023-04-25 09:18:07,3.22,5.87,2.65
B5,2023-04-25 09:18:17,3.13,6.18,3.05
B6,2023-04-25 14:48:55,3.21,6.32,3.1100000000000003
C1,2023-04-25 14:54:30,3.3,6.79,3.49
C2,2023-04-25 15:01:01,3.11,6.28,3.1700000000000004
B6,2023-04-26 09:34:29,3.21,6.06,2.85
C1,2023-04-26 09:34:38,3.3,6.47,3.17
C2,2023-04-26 09:34:49,3.11,6.01,2.9
B6,2023-04-27 09:53:19,3.21,5.98,2.77
C1,2023-04-27 09:53:33,3.3,6.37,3.07
C2,2023-04-27 09:53:44,3.11,5.93,2.82
B6,2023-04-28 09:20:53,3.21,5.94,2.73
C1,2023-04-28 09:21:03,3.3,6.32,3.02
C2,2023-04-28 09:21:13,3.11,5.89,2.78
B6,2023-05-02 16:50:25,3.21,5.85,2.64
C1,2023-05-02 16:50:33,3.3,6.23,2.93
C2,2023-05-02 16:50:41,3.11,5.8,2.69
B6,2023-05-03 09:24:45,3.21,5.86,2.65
C1,2023-05-03 09:24:53,3.3,6.23,2.93
C2,2023-05-03 09:25:02,3.11,5.81,2.7
C3,2023-05-03 14:04:16,3.25,6.38,3.13
C4,2023-05-03 14:09:37,3.06,6.59,3.53
C5,2023-05-03 14:15:55,3.31,6.75,3.44
C3,2023-05-04 13:23:43,3.25,6.1,2.85
C4,2023-05-04 13:23:57,3.06,6.28,3.22
C5,2023-05-04 13:24:08,3.31,6.49,3.18
C3,2023-05-05 08:25:36,3.25,5.99,2.74
C4,2023-05-05 08:25:47,3.06,6.16,3.1
C5,2023-05-05 08:25:56,3.31,6.37,3.06
C3,2023-05-09 16:48:39,3.25,5.86,2.61
C4,2023-05-09 16:48:47,3.06,5.96,2.9
C5,2023-05-09 16:48:55,3.31,6.21,2.9
C3,2023-05-10 08:39:44,3.25,5.83,2.58
C4,2023-05-10 08:39:58,3.06,5.92,2.86
C5,2023-05-10 08:40:15,3.31,6.18,2.87
C6,2023-05-10 15:14:13,3.07,6.53,3.4600000000000004
D1,2023-05-10 15:19:59,3.17,6.87,3.7
D2,2023-05-10 15:25:42,3.25,6.72,3.47
C6,2023-05-11 11:57:36,3.07,6.19,3.12
D1,2023-05-11 11:57:48,3.17,6.56,3.39
D2,2023-05-11 11:57:57,3.25,6.36,3.11
C6,2023-05-12 09:15:50,3.07,6.13,3.06
D1,2023-05-12 09:16:10,3.17,6.48,3.31
D2,2023-05-12 09:16:37,3.25,6.28,3.03
C6,2023-05-16 16:36:06,3.07,5.99,2.92
D1,2023-05-16 16:36:17,3.17,6.35,3.18
D2,2023-05-16 16:36:27,3.25,6.15,2.9
C6,2023-05-17 09:28:37,3.07,5.99,2.92
D1,2023-05-17 09:28:47,3.17,6.35,3.18
D2,2023-05-17 09:28:57,3.25,6.14,2.89
D3,2023-05-17 14:00:16,3.15,6.28,3.13
D4,2023-05-17 14:05:16,3.21,7.45,4.24
D5,2023-05-17 14:09:31,3.22,6.55,3.33
D3,2023-05-18 09:36:16,3.15,6.09,2.94
D4,2023-05-18 09:36:25,3.21,7.12,3.91
D5,2023-05-18 09:36:36,3.22,6.26,3.04
D3,2023-05-19 09:37:32,3.15,6.01,2.86
D4,2023-05-19 09:37:41,3.21,6.98,3.77
D5,2023-05-19 09:37:49,3.22,6.14,2.92
D3,2023-05-24 08:59:24,3.15,5.88,2.73
D4,2023-05-24 08:59:43,3.21,6.81,3.6
D5,2023-05-24 08:59:58,3.22,6.01,2.79
D3,2023-05-24 13:36:16,3.15,5.89,2.74
D4,2023-05-24 13:36:29,3.21,6.8,3.59
D5,2023-05-24 13:36:39,3.22,6.01,2.79
D6,2023-05-25 11:32:02,3.39,6.37,2.98
E1,2023-05-25 11:36:41,3.32,6.63,3.31
E2,2023-05-25 11:44:27,3.22,6.24,3.02
D6,2023-05-26 08:55:53,3.39,6.2,2.81
E1,2023-05-26 08:56:06,3.32,6.32,3.0
E2,2023-05-26 08:56:20,3.22,6.03,2.81
D6,2023-05-30 09:25:06,3.39,6.05,2.66
E1,2023-05-30 09:25:17,3.32,6.13,2.81
E2,2023-05-30 09:25:26,3.22,5.89,2.67
D6,2023-05-31 09:27:47,3.39,6.05,2.66
E1,2023-05-31 09:27:57,3.32,6.12,2.8
E2,2023-05-31 09:28:06,3.22,5.88,2.66
E3,2023-06-01 10:26:43,3.14,6.44,3.3000000000000003
E4,2023-06-01 10:33:18,3.16,6.49,3.33
E5,2023-06-01 10:42:48,3.15,6.39,3.24
E3,2023-06-02 10:44:18,3.14,6.1,2.96
E4,2023-06-02 10:44:28,3.16,6.3,3.14
E5,2023-06-02 10:44:37,3.15,6.21,3.06
E3,2023-06-05 09:34:42,3.14,5.96,2.82
E4,2023-06-05 09:34:54,3.16,6.09,2.93
E5,2023-06-05 09:35:04,3.15,6.09,2.94
E3,2023-06-06 09:34:08,3.14,5.94,2.8
E4,2023-06-06 09:34:18,3.16,6.07,2.91
E5,2023-06-06 09:34:27,3.15,6.08,2.93
E3,2023-06-07 09:57:07,3.14,5.93,2.79
E4,2023-06-07 09:57:17,3.16,6.06,2.9
E5,2023-06-07 09:57:27,3.15,6.05,2.9
