mould_position,point,datetime,exp_param_a,exp_param_b,exp_param_c,time_elapsed_hours,lin_param_m,lin_param_c
E3,3,2023-06-05 09:34:42,14.673273669330149,0.0498582412045458,85.32672633066984,95.13,-0.0121,86.5825
E3,4,2023-06-06 09:34:08,14.956069552474304,0.0478322344791181,85.03915344861296,119.12,-0.0044,85.6088
E3,5,2023-06-07 09:57:07,15.138636181522822,0.0464506965959954,84.84947345273035,143.51,-0.0016,85.0988
E4,3,2023-06-05 09:34:54,13.630738035362848,0.0224220003954506,86.36926196463715,95.03,-0.0479,92.4975
E4,4,2023-06-06 09:34:18,13.556436285198876,0.022665353267288,86.44781422956619,119.02,-0.0274,90.5984
E4,5,2023-06-07 09:57:17,13.480796129691065,0.0230067052335115,86.53281866774049,143.4,-0.0152,89.1999
E5,3,2023-06-05 09:35:04,9.569090096313111,0.03615712833319,90.4309099036869,94.87,-0.0177,92.3931
E5,4,2023-06-06 09:34:27,9.650554113434668,0.0355339508373517,90.34627898060558,118.86,-0.0079,91.4111
E5,5,2023-06-07 09:57:27,10.02815726800781,0.03196823862588921,89.92667168411603,143.24,-0.0049,90.7273
