mould_position,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,s1,s2,b1,StartPolymerMass_g,EndPolymerMass_pct,DeltaPolymerMass_pct
A1,1.0,0.989353572,0.502367697,0.574272854,0.838240965,0.726712816,2.92,86.5581262,-13.4418738
A2,1.0,0.13861432,1.034844588,0.074272854,0.338240965,0.226712816,3.38,85.98709109,-14.01290891
A3,1.0,0.470233946,0.56946255,0.324272854,0.088240965,0.476712816,3.4,86.85736173,-13.14263827
A4,1.0,1.695973198,0.03698566,0.824272854,0.588240965,0.976712816,2.86,88.63235701,-11.36764299
A5,1.0,0.676663551,0.786528569,0.949272854,0.213240965,0.351712816,3.39,87.15968711,-12.84031289
A6,1.0,0.999833579,0.254051678,0.449272854,0.713240965,0.851712816,3.19,86.92335515,-13.07664485
B1,1.0,0.081259313,1.763554198,0.199272854,0.963240965,0.101712816,3.19,89.09176503,-10.90823497
B2,1.0,0.931998565,0.582790124,0.699272854,0.463240965,0.601712816,3.1,86.23431222,-13.76568778
B3,1.0,0.528274566,0.741425136,0.367430617,0.490511953,0.497429849,3.29,86.90072562,-13.09927438
B4,1.0,0.414069708,0.194427518,0.0,0.131309535,0.171860584,3.12,85.33117877,-14.66882123
B5,1.0,0.295616669,0.551447354,0.0,0.349051686,0.408766661,3.48,88.09892757,-11.90107243
B6,1.0,0.663207158,0.15420004,0.180467282,0.105572154,0.139475329,3.11,85.90961016,-14.09038984
C1,1.0,0.457157744,0.104212031,0.0,0.216229495,0.085684512,3.49,84.79507177,-15.20492823
C2,1.0,0.478043973,0.222408987,0.076517059,0.0,0.222408987,3.17,85.88280744,-14.11719256
C3,1.0,0.5,0.0,0.0,0.130814628,0.0,3.13,83.36360078,-16.63639922
C4,1.0,0.489801081,0.026951445,0.0,0.321289245,0.020397838,3.53,82.01485272,-17.98514728
C5,1.0,0.487343165,0.025313671,0.0,0.0,0.025313671,3.44,84.33875899,-15.66124101
C6,1.0,0.5,0.0,0.0,0.3509342825456992,0.0,3.4600000000000004,84.96270539090708,-15.037294609092925
D1,1.0,0.6906672217821714,0.0,0.1271114811881143,0.3259829300859836,0.0,3.7,86.46278918097305,-13.537210819026951
D2,1.0,0.5,0.0,0.0,0.4387559342181024,0.0,3.47,83.95424408746524,-16.04575591253476
D3,1.0,1.1270544381493504,0.2048628366873,0.6116226567785421,0.0,0.2048628366873,3.13,87.99629507292494,-12.003704927075065
D4,1.0,0.5,0.0,0.0,0.2348734771916439,0.0,4.24,85.36070212610275,-14.639297873897249
D5,1.0,0.5,0.0,0.0,0.0,0.0,3.33,84.31062676699014,-15.68937323300986
D6,1.0,2.0,0.0,1.0,1.0,0.0,2.98,89.64137972583725,-10.358620274162746
E1,1.0,0.5975699734658488,0.0,0.0650466489772325,0.0,0.0,3.31,85.04022148752428,-14.959778512475722
E2,1.0,1.5683916024014384,0.4316083975985616,1.0,1.0,0.2158041987992808,3.02,88.56704230923435,-11.432957690765647
E3,1.0,0.4619035199907502,0.1080262461743116,0.0,0.4177982604702964,0.0761929600184996,3.3000000000000003,85.16988223494789,-14.830117765052108
E4,1.0,0.0,1.0,0.2264989089412521,0.0,1.0,3.33,87.44627624089809,-12.553723759101914
E5,1.0,0.0,1.8419156845508435,0.0240331575087219,0.8419156845508435,1.0,3.24,90.50955026834858,-9.490449731651424
