mould_position,point,datetime,exp_param_a,exp_param_b,exp_param_c,time_elapsed_hours,estimated_halflife_hours,time_elapsed_halflives,lin_param_m,lin_param_c
E3,3,2023-04-27 09:50:32,11.15378650977676,0.0567029155704041,88.84621349022323,44.14,12.22,3.61,-0.108,94.296
E3,4,2023-04-28 09:18:55,11.370483806712931,0.0541260114649974,88.62270163650453,67.62,12.81,5.28,-0.0319,91.0065
E3,5,2023-05-02 16:48:17,12.7792601098318,0.0370075826902045,87.01029522477667,171.1,18.73,9.14,-0.0013,87.2608
E3,6,2023-05-03 09:22:29,13.019579485168496,0.0348127155551242,86.72297577981138,187.67,19.91,9.43,-0.001,86.9323
E4,3,2023-04-27 09:50:43,10.737587990522345,0.0551757223510652,89.26241200947766,44.04,12.56,3.51,-0.1066,94.678
E4,4,2023-04-28 09:19:05,10.9330291847749,0.052861608697507,89.06072043976494,67.51,13.11,5.15,-0.0322,91.4802
E4,5,2023-05-02 16:48:28,12.575052597055556,0.0337766020674903,87.17018561466048,171.0,20.52,8.33,-0.002,87.551
E4,6,2023-05-03 09:22:48,12.812870600877755,0.03184823724632907,86.88617540027447,187.58,21.76,8.62,-0.0015,87.2072
