mould_position,point,datetime,exp_param_a,exp_param_b,exp_param_c,time_elapsed_hours,lin_param_m,lin_param_c
E3,3,2023-05-30 09:26:05,14.467700017901793,0.0481577340290453,85.53229998209821,117.47,-0.0045,86.1046
E3,4,2023-05-31 09:28:43,14.608038229395516,0.0473079157258177,85.39049133498322,141.52,-0.0016,85.6276
E4,3,2023-05-30 09:26:17,15.65986650718514,0.0469175409495029,84.34013349281486,117.38,-0.0054,85.032
E4,4,2023-05-31 09:28:55,15.7958981544945,0.046181302337859303,84.20249332806948,141.43,-0.0019,84.4936
