mould_position,point,datetime,exp_param_a,exp_param_b,exp_param_c,time_elapsed_hours,estimated_halflife_hours,time_elapsed_halflives,lin_param_m,lin_param_c
E3,3,2023-06-05 09:33:31,11.821845241969912,0.0458520112747552,88.17815475803009,95.95,15.12,6.35,-0.012,89.4505
E3,4,2023-06-06 09:33:00,12.104899864961704,0.0435719086982925,87.88900706644276,119.94,15.91,7.54,-0.0049,88.5383
E3,5,2023-06-07 09:55:59,12.284540446025247,0.042000440158255554,87.69984787605556,144.33,16.5,8.75,-0.0021,88.0212
